group,model_type,model_name,parameter,estimate_and_95ci
healthcare_worker,Cox,agesex,ps(age10)3,0.80 (0.47-1.35)
healthcare_worker,Cox,agesex,ps(age10)4,0.64 (0.22-1.83)
healthcare_worker,Cox,agesex,ps(age10)5,0.54 (0.12-2.52)
healthcare_worker,Cox,agesex,ps(age10)6,0.60 (0.10-3.59)
healthcare_worker,Cox,agesex,ps(age10)7,0.85 (0.14-5.31)
healthcare_worker,Cox,agesex,ps(age10)8,1.35 (0.23-7.99)
healthcare_worker,Cox,agesex,ps(age10)9,1.78 (0.32-10.11)
healthcare_worker,Cox,agesex,ps(age10)10,1.97 (0.35-11.02)
healthcare_worker,Cox,agesex,ps(age10)11,2.32 (0.41-13.03)
healthcare_worker,Cox,agesex,ps(age10)12,2.60 (0.46-14.68)
healthcare_worker,Cox,agesex,ps(age10)13,2.88 (0.49-16.98)
healthcare_worker,Cox,agesex,ps(age10)14,3.19 (0.48-21.25)
healthcare_worker,Cox,agesex,male,1.59 (1.22-2.08)
healthcare_worker,Cox,agesex,rolepf_any,3.31 (2.13-5.13)
healthcare_worker,Cox,agesex,roleundetermined,1.64 (0.99-2.72)
healthcare_worker,Cox,ethnicsimd,ps(age10)3,0.82 (0.49-1.37)
healthcare_worker,Cox,ethnicsimd,ps(age10)4,0.66 (0.23-1.88)
healthcare_worker,Cox,ethnicsimd,ps(age10)5,0.57 (0.12-2.62)
healthcare_worker,Cox,ethnicsimd,ps(age10)6,0.64 (0.11-3.77)
healthcare_worker,Cox,ethnicsimd,ps(age10)7,0.92 (0.15-5.63)
healthcare_worker,Cox,ethnicsimd,ps(age10)8,1.46 (0.25-8.51)
healthcare_worker,Cox,ethnicsimd,ps(age10)9,1.92 (0.34-10.69)
healthcare_worker,Cox,ethnicsimd,ps(age10)10,2.09 (0.38-11.50)
healthcare_worker,Cox,ethnicsimd,ps(age10)11,2.42 (0.44-13.41)
healthcare_worker,Cox,ethnicsimd,ps(age10)12,2.64 (0.47-14.72)
healthcare_worker,Cox,ethnicsimd,ps(age10)13,2.84 (0.49-16.50)
healthcare_worker,Cox,ethnicsimd,ps(age10)14,3.03 (0.46-20.01)
healthcare_worker,Cox,ethnicsimd,male,1.64 (1.25-2.14)
healthcare_worker,Cox,ethnicsimd,rolepf_any,3.29 (2.12-5.10)
healthcare_worker,Cox,ethnicsimd,roleundetermined,1.54 (0.93-2.57)
healthcare_worker,Cox,ethnicsimd,white,1.13 (0.53-2.41)
healthcare_worker,Cox,ethnicsimd,simd,0.81 (0.73-0.88)
healthcare_worker,Cox,como,ps(age10)3,0.81 (0.48-1.36)
healthcare_worker,Cox,como,ps(age10)4,0.66 (0.23-1.86)
healthcare_worker,Cox,como,ps(age10)5,0.56 (0.12-2.59)
healthcare_worker,Cox,como,ps(age10)6,0.63 (0.11-3.70)
healthcare_worker,Cox,como,ps(age10)7,0.90 (0.15-5.49)
healthcare_worker,Cox,como,ps(age10)8,1.40 (0.24-8.18)
healthcare_worker,Cox,como,ps(age10)9,1.80 (0.32-10.05)
healthcare_worker,Cox,como,ps(age10)10,1.91 (0.35-10.51)
healthcare_worker,Cox,como,ps(age10)11,2.14 (0.39-11.89)
healthcare_worker,Cox,como,ps(age10)12,2.25 (0.40-12.58)
healthcare_worker,Cox,como,ps(age10)13,2.31 (0.39-13.50)
healthcare_worker,Cox,como,ps(age10)14,2.35 (0.35-15.66)
healthcare_worker,Cox,como,male,1.56 (1.19-2.04)
healthcare_worker,Cox,como,rolepf_any,3.30 (2.13-5.13)
healthcare_worker,Cox,como,roleundetermined,1.55 (0.93-2.59)
healthcare_worker,Cox,como,white,1.21 (0.57-2.60)
healthcare_worker,Cox,como,simd,0.82 (0.75-0.90)
healthcare_worker,Cox,como,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,como,t2dm,2.08 (1.23-3.52)
healthcare_worker,Cox,ethnicalone,ps(age10)3,0.82 (0.50-1.34)
healthcare_worker,Cox,ethnicalone,ps(age10)4,0.67 (0.25-1.80)
healthcare_worker,Cox,ethnicalone,ps(age10)5,0.57 (0.13-2.44)
healthcare_worker,Cox,ethnicalone,ps(age10)6,0.62 (0.11-3.40)
healthcare_worker,Cox,ethnicalone,ps(age10)7,0.86 (0.15-4.91)
healthcare_worker,Cox,ethnicalone,ps(age10)8,1.33 (0.24-7.24)
healthcare_worker,Cox,ethnicalone,ps(age10)9,1.74 (0.33-9.08)
healthcare_worker,Cox,ethnicalone,ps(age10)10,1.91 (0.37-9.85)
healthcare_worker,Cox,ethnicalone,ps(age10)11,2.20 (0.42-11.38)
healthcare_worker,Cox,ethnicalone,ps(age10)12,2.34 (0.45-12.19)
healthcare_worker,Cox,ethnicalone,ps(age10)13,2.44 (0.45-13.27)
healthcare_worker,Cox,ethnicalone,ps(age10)14,2.53 (0.41-15.64)
healthcare_worker,Cox,ethnicalone,male,1.61 (1.23-2.11)
healthcare_worker,Cox,ethnicalone,white,1.12 (0.53-2.39)
healthcare_worker,Cox,occupation,ps(age10)3,0.81 (0.48-1.36)
healthcare_worker,Cox,occupation,ps(age10)4,0.66 (0.23-1.86)
healthcare_worker,Cox,occupation,ps(age10)5,0.56 (0.12-2.58)
healthcare_worker,Cox,occupation,ps(age10)6,0.62 (0.11-3.69)
healthcare_worker,Cox,occupation,ps(age10)7,0.89 (0.15-5.47)
healthcare_worker,Cox,occupation,ps(age10)8,1.40 (0.24-8.16)
healthcare_worker,Cox,occupation,ps(age10)9,1.79 (0.32-10.03)
healthcare_worker,Cox,occupation,ps(age10)10,1.90 (0.34-10.48)
healthcare_worker,Cox,occupation,ps(age10)11,2.13 (0.38-11.88)
healthcare_worker,Cox,occupation,ps(age10)12,2.25 (0.40-12.61)
healthcare_worker,Cox,occupation,ps(age10)13,2.32 (0.40-13.57)
healthcare_worker,Cox,occupation,ps(age10)14,2.37 (0.36-15.80)
healthcare_worker,Cox,occupation,male,1.59 (1.21-2.09)
healthcare_worker,Cox,occupation,rolepf_any,3.00 (1.68-5.36)
healthcare_worker,Cox,occupation,roleundetermined,1.53 (0.91-2.56)
healthcare_worker,Cox,occupation,white,1.23 (0.57-2.62)
healthcare_worker,Cox,occupation,simd,0.82 (0.74-0.90)
healthcare_worker,Cox,occupation,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,occupation,t2dm,2.09 (1.23-3.53)
healthcare_worker,Cox,occupation,nurs_med_ahp,1.12 (0.72-1.73)
healthcare_worker,Cox,parttime,ps(age10)3,0.83 (0.49-1.42)
healthcare_worker,Cox,parttime,ps(age10)4,0.69 (0.24-2.01)
healthcare_worker,Cox,parttime,ps(age10)5,0.61 (0.13-2.90)
healthcare_worker,Cox,parttime,ps(age10)6,0.71 (0.12-4.30)
healthcare_worker,Cox,parttime,ps(age10)7,1.03 (0.16-6.53)
healthcare_worker,Cox,parttime,ps(age10)8,1.62 (0.27-9.74)
healthcare_worker,Cox,parttime,ps(age10)9,2.06 (0.36-11.80)
healthcare_worker,Cox,parttime,ps(age10)10,2.16 (0.38-12.23)
healthcare_worker,Cox,parttime,ps(age10)11,2.45 (0.43-13.99)
healthcare_worker,Cox,parttime,ps(age10)12,2.64 (0.46-15.17)
healthcare_worker,Cox,parttime,ps(age10)13,2.78 (0.46-16.79)
healthcare_worker,Cox,parttime,ps(age10)14,2.90 (0.42-20.12)
healthcare_worker,Cox,parttime,male,1.47 (1.10-1.96)
healthcare_worker,Cox,parttime,rolepf_any,3.06 (1.73-5.43)
healthcare_worker,Cox,parttime,roleundetermined,1.60 (0.96-2.69)
healthcare_worker,Cox,parttime,white,1.21 (0.57-2.59)
healthcare_worker,Cox,parttime,simd,0.83 (0.75-0.91)
healthcare_worker,Cox,parttime,como_count,1.23 (1.03-1.46)
healthcare_worker,Cox,parttime,t2dm,2.05 (1.21-3.46)
healthcare_worker,Cox,parttime,nurs_med_ahp,1.13 (0.74-1.74)
healthcare_worker,Cox,parttime,part_timep,0.75 (0.56-1.00)
healthcare_worker,Cox,parttime,part_timegeneral practice,0.44 (0.16-1.18)
healthcare_worker,Cox,gradeafc,ps(age10)3,0.75 (0.45-1.27)
healthcare_worker,Cox,gradeafc,ps(age10)4,0.56 (0.20-1.61)
healthcare_worker,Cox,gradeafc,ps(age10)5,0.45 (0.10-2.08)
healthcare_worker,Cox,gradeafc,ps(age10)6,0.47 (0.08-2.86)
healthcare_worker,Cox,gradeafc,ps(age10)7,0.65 (0.10-4.13)
healthcare_worker,Cox,gradeafc,ps(age10)8,1.04 (0.17-6.26)
healthcare_worker,Cox,gradeafc,ps(age10)9,1.43 (0.25-8.13)
healthcare_worker,Cox,gradeafc,ps(age10)10,1.61 (0.29-8.97)
healthcare_worker,Cox,gradeafc,ps(age10)11,1.84 (0.33-10.35)
healthcare_worker,Cox,gradeafc,ps(age10)12,1.97 (0.35-11.11)
healthcare_worker,Cox,gradeafc,ps(age10)13,2.09 (0.35-12.48)
healthcare_worker,Cox,gradeafc,ps(age10)14,2.23 (0.32-15.44)
healthcare_worker,Cox,gradeafc,male,1.32 (0.96-1.82)
healthcare_worker,Cox,gradeafc,rolepf_any,2.94 (1.59-5.45)
healthcare_worker,Cox,gradeafc,roleundetermined,1.66 (0.99-2.79)
healthcare_worker,Cox,gradeafc,white,1.30 (0.41-4.09)
healthcare_worker,Cox,gradeafc,simd,0.80 (0.72-0.90)
healthcare_worker,Cox,gradeafc,como_count,1.26 (1.06-1.50)
healthcare_worker,Cox,gradeafc,t2dm,2.00 (1.18-3.42)
healthcare_worker,Cox,gradeafc,nurs_med_ahp,1.12 (0.71-1.78)
healthcare_worker,Cox,gradeafc,part_timep,0.67 (0.50-0.91)
healthcare_worker,Cox,gradeafc,part_timegeneral practice,
healthcare_worker,Cox,gradeafc,grade5-7,1.03 (0.75-1.41)
healthcare_worker,Cox,gradeafc,grade8+,1.18 (0.53-2.62)
healthcare_worker,Cox,grademed,ps(age)3,3.42 (2.23-5.24)
healthcare_worker,Cox,grademed,ps(age)4,11.62 (4.94-27.37)
healthcare_worker,Cox,grademed,ps(age)5,31.68 (7.92-126.70)
healthcare_worker,Cox,grademed,ps(age)6,66.57 (7.79-568.67)
healthcare_worker,Cox,grademed,ps(age)7,134.16 (12.32-1460.40)
healthcare_worker,Cox,grademed,ps(age)8,172.11 (18.98-1560.42)
healthcare_worker,Cox,grademed,ps(age)9,121.55 (13.98-1056.54)
healthcare_worker,Cox,grademed,ps(age)10,70.52 (7.57-656.66)
healthcare_worker,Cox,grademed,ps(age)11,56.89 (5.42-597.19)
healthcare_worker,Cox,grademed,ps(age)12,61.05 (4.25-876.14)
healthcare_worker,Cox,grademed,ps(age)13,70.34 (2.37-2088.26)
healthcare_worker,Cox,grademed,ps(age)14,78.64 (1.05-5874.62)
healthcare_worker,Cox,grademed,male,2.58 (1.06-6.29)
healthcare_worker,Cox,grademed,simd,1.07 (0.68-1.68)
healthcare_worker,Cox,grademed,gradespecialty_assoc_spec,0.83 (0.11-6.47)
healthcare_worker,Cox,grademed,gradetraining_grade,2.02 (0.71-5.77)
healthcare_worker,Cox,pt,ps(age10)3,0.83 (0.49-1.42)
healthcare_worker,Cox,pt,ps(age10)4,0.69 (0.24-2.01)
healthcare_worker,Cox,pt,ps(age10)5,0.61 (0.13-2.90)
healthcare_worker,Cox,pt,ps(age10)6,0.71 (0.12-4.30)
healthcare_worker,Cox,pt,ps(age10)7,1.03 (0.16-6.53)
healthcare_worker,Cox,pt,ps(age10)8,1.62 (0.27-9.74)
healthcare_worker,Cox,pt,ps(age10)9,2.06 (0.36-11.80)
