original_dict	jobfamily	jobsubfamily	child_health	dental
yes	ADMINISTRATIVE SERVICES	FINANCE		
yes	ADMINISTRATIVE SERVICES	HUMAN RESOURCES		
yes	ADMINISTRATIVE SERVICES	INFORMATION SYSTEMS/TECHNOLOGY		
no	ADMINISTRATIVE SERVICES			
no	ADMINISTRATIVE SERVICES	NHS24 CALL HANDLER		
yes	ADMINISTRATIVE SERVICES	OFFICE SERVICES		
yes	ADMINISTRATIVE SERVICES	PATIENT SERVICES		
yes	ALLIED HEALTH PROFESSION	AHP TRAINING/ADMINISTRATION		
no	ALLIED HEALTH PROFESSION	AMBULANCE PARAMEDIC		
yes	ALLIED HEALTH PROFESSION	ARTS THERAPIES		
yes	ALLIED HEALTH PROFESSION	DIAGNOSTIC RADIOGRAPHY		
yes	ALLIED HEALTH PROFESSION	DIETETICS		
yes	ALLIED HEALTH PROFESSION	GENERIC THERAPIES		
yes	ALLIED HEALTH PROFESSION	OCCUPATIONAL THERAPY		
yes	ALLIED HEALTH PROFESSION	ORTHOPTICS		
yes	ALLIED HEALTH PROFESSION	ORTHOTICS		
yes	ALLIED HEALTH PROFESSION	PHYSIOTHERAPY		
yes	ALLIED HEALTH PROFESSION	PODIATRY		
yes	ALLIED HEALTH PROFESSION	PROSTHETICS		
yes	ALLIED HEALTH PROFESSION	SPEECH AND LANGUAGE THERAPY		
yes	ALLIED HEALTH PROFESSION	THERAPEUTIC RADIOGRAPHY		
no	AMBULANCE SERVICES	AMBULANCE CARE ASSISTANT		
no	AMBULANCE SERVICES	AMBULANCE TECHNICIAN		
no	AMBULANCE SERVICES	DRIVER		
no	AMBULANCE SERVICES	EMDC OPERATIVE		
no	AMBULANCE SERVICES	OPERATIONAL MANAGER		
no	AMBULANCE SERVICES	PTS DAY CONTROL		
no	DENTAL SUPPORT	CLINICAL DENTAL TECHNICIAN		1
no	DENTAL SUPPORT	DENTAL HYGIENIST		1
no	DENTAL SUPPORT	DENTAL HYGIENIST-THERAPIST		1
no	DENTAL SUPPORT	DENTAL NURSING		1
no	DENTAL SUPPORT	DENTAL TECHNICIAN		1
no	DENTAL SUPPORT	DENTAL THERAPIST		1
no	DENTAL SUPPORT	ORAL HEALTH		1
no	DENTAL SUPPORT	ORTHODONTIC THERAPIST		1
yes	EMERGENCY SERVICES	AMBULANCE AUXILIARY		
yes	EMERGENCY SERVICES	AMBULANCE CARE ASSISTANT		
yes	EMERGENCY SERVICES	AMBULANCE PARAMEDIC		
yes	EMERGENCY SERVICES	AMBULANCE TECHNICIAN		
yes	EMERGENCY SERVICES	DRIVER		
