original_dict	jobfamily	jobsubfamily	npf	pf_any	pf_front	pf_resp_oro_agp	pf_icu
yes	ADMINISTRATIVE SERVICES	FINANCE	Yes				
yes	ADMINISTRATIVE SERVICES	HUMAN RESOURCES	Yes				
yes	ADMINISTRATIVE SERVICES	INFORMATION SYSTEMS/TECHNOLOGY	Yes				
no	ADMINISTRATIVE SERVICES	NA	Yes				
no	ADMINISTRATIVE SERVICES	NHS24 CALL HANDLER	Yes				
yes	ADMINISTRATIVE SERVICES	OFFICE SERVICES	Yes				
yes	ADMINISTRATIVE SERVICES	PATIENT SERVICES	Yes				
yes	ALLIED HEALTH PROFESSION	AHP TRAINING/ADMINISTRATION	Yes				
no	ALLIED HEALTH PROFESSION	AMBULANCE PARAMEDIC		Yes	Yes		
yes	ALLIED HEALTH PROFESSION	ARTS THERAPIES					
yes	ALLIED HEALTH PROFESSION	DIAGNOSTIC RADIOGRAPHY		Yes			
yes	ALLIED HEALTH PROFESSION	DIETETICS					
yes	ALLIED HEALTH PROFESSION	GENERIC THERAPIES					
yes	ALLIED HEALTH PROFESSION	OCCUPATIONAL THERAPY		Yes			
yes	ALLIED HEALTH PROFESSION	ORTHOPTICS					
yes	ALLIED HEALTH PROFESSION	ORTHOTICS		Yes			
yes	ALLIED HEALTH PROFESSION	PHYSIOTHERAPY		Yes		Yes	
yes	ALLIED HEALTH PROFESSION	PODIATRY		Yes			
yes	ALLIED HEALTH PROFESSION	PROSTHETICS					
yes	ALLIED HEALTH PROFESSION	SPEECH AND LANGUAGE THERAPY		Yes			
yes	ALLIED HEALTH PROFESSION	THERAPEUTIC RADIOGRAPHY		Yes	  		
no	AMBULANCE SERVICES	AMBULANCE CARE ASSISTANT		Yes	Yes		
no	AMBULANCE SERVICES	AMBULANCE TECHNICIAN		Yes	Yes		
no	AMBULANCE SERVICES	DRIVER		Yes	Yes		
no	AMBULANCE SERVICES	EMDC OPERATIVE	Yes				
no	AMBULANCE SERVICES	OPERATIONAL MANAGER	Yes				
no	AMBULANCE SERVICES	PTS DAY CONTROL	Yes				
no	DENTAL SUPPORT	CLINICAL DENTAL TECHNICIAN		Yes		Yes	
no	DENTAL SUPPORT	DENTAL HYGIENIST		Yes		Yes	
no	DENTAL SUPPORT	DENTAL HYGIENIST-THERAPIST		Yes		Yes	
no	DENTAL SUPPORT	DENTAL NURSING		Yes		Yes	
no	DENTAL SUPPORT	DENTAL TECHNICIAN		Yes		Yes	
no	DENTAL SUPPORT	DENTAL THERAPIST		Yes		Yes	
no	DENTAL SUPPORT	ORAL HEALTH					
no	DENTAL SUPPORT	ORTHODONTIC THERAPIST		Yes		Yes	
yes	EMERGENCY SERVICES	AMBULANCE AUXILIARY		Yes	Yes		
yes	EMERGENCY SERVICES	AMBULANCE CARE ASSISTANT		Yes	Yes		
yes	EMERGENCY SERVICES	AMBULANCE PARAMEDIC		Yes	Yes		
yes	EMERGENCY SERVICES	AMBULANCE TECHNICIAN		Yes	Yes		
yes	EMERGENCY SERVICES	DRIVER		Yes	Yes		
yes	EMERGENCY SERVICES	EMDC OPERATIVE	Yes				
yes	EMERGENCY SERVICES	OPERATIONAL MANAGER	Yes				
yes	EMERGENCY SERVICES	PTS DAY CONTROL					
yes	HEALTHCARE SCIENCES	BIOMEDICAL SCIENCES LIFE					
yes	HEALTHCARE SCIENCES	CLIN PHOTO/ILLUSTRATE PHYSICAL					
yes	HEALTHCARE SCIENCES	CLINICAL PERFUSION PHYSIOLOGY					
yes	HEALTHCARE SCIENCES	CLINICAL PHYSIOLOGY					
yes	HEALTHCARE SCIENCES	CLINICAL SCIENCES LIFE					
yes	HEALTHCARE SCIENCES	CLINICAL SCIENCES PHYSICAL					
yes	HEALTHCARE SCIENCES	CLINICAL SCIENCES PHYSIOLOGY					
yes	HEALTHCARE SCIENCES	CLINICAL TECHNOLOGY LIFE					
yes	HEALTHCARE SCIENCES	CLINICAL TECHNOLOGY PHYSICAL					
yes	HEALTHCARE SCIENCES	MAXILLOFACIAL PROS PHYSICAL					
no	HEALTHCARE SCIENCES	NA					
no	HEALTHCARE SCIENCES	STERILE SERVICES LIFE					
yes	MEDICAL AND DENTAL SUPPORT	DENTAL NURSING		Yes		Yes	
yes	MEDICAL AND DENTAL SUPPORT	DENTAL TECHNOLOGY		Yes		Yes	
yes	MEDICAL AND DENTAL SUPPORT	OPERATING DEPARTMENT		Yes			
yes	MEDICAL AND DENTAL SUPPORT	ORAL HEALTH		Yes		Yes	
yes	MEDICAL AND DENTAL SUPPORT	PHYSICIANS ASSISTANT					
yes	MEDICAL AND DENTAL SUPPORT	THEATRE SERVICES		Yes			
no	MEDICAL SUPPORT	OPERATING DEPARTMENT		Yes			
no	MEDICAL SUPPORT	PHYSICIANS ASSISTANT		Yes			
no	MEDICAL SUPPORT	THEATRE SERVICES		Yes			
yes	NURSING AND MIDWIFERY	BANK NURSING		Yes			
yes	NURSING AND MIDWIFERY	BTS NURSING		Yes		    Yes	
yes	NURSING AND MIDWIFERY	CARE OF THE ELDERLY NURSING		Yes	Yes		
no	NURSING AND MIDWIFERY	COMMUNITY CHILDREN'S NURSING					
yes	NURSING AND MIDWIFERY	COMMUNITY GENERAL NURSING		Yes			
yes	NURSING AND MIDWIFERY	DISTRICT NURSING		Yes			
yes	NURSING AND MIDWIFERY	FAMILY PLANNING NURSING					
yes	NURSING AND MIDWIFERY	GENERAL ACUTE NURSING		Yes	Yes		
yes	NURSING AND MIDWIFERY	HEALTH VISITOR NURSING					
yes	NURSING AND MIDWIFERY	LEARNING DISABILITIES NURSING		Yes			
yes	NURSING AND MIDWIFERY	MENTAL HEALTH NURSING		Yes			
yes	NURSING AND MIDWIFERY	MIDWIFERY		Yes			
no	NURSING AND MIDWIFERY	MIDWIFERY DIRECT CC		Yes			
no	NURSING AND MIDWIFERY	MIDWIFERY INDIRECT CC		Yes			
no	NURSING AND MIDWIFERY	NA					
no	NURSING AND MIDWIFERY	NEONATAL MIDWIFERY CC		Yes			
no	NURSING AND MIDWIFERY	NEONATAL MIDWIFERY DIRECT CC		Yes			
no	NURSING AND MIDWIFERY	NEONATAL MIDWIFERY INDIRECT CC		Yes			
no	NURSING AND MIDWIFERY	NEONATAL NURSING DIRECT CC		Yes			
no	NURSING AND MIDWIFERY	NEONATAL NURSING INDIRECT CC		Yes			
yes	NURSING AND MIDWIFERY	NHS 24 NURSING	Yes				
yes	NURSING AND MIDWIFERY	NURSING TRAINING/ADMIN/MGT					
yes	NURSING AND MIDWIFERY	PAEDIATRIC NURSING		Yes	Yes		
yes	NURSING AND MIDWIFERY	PRACTICE NURSING		Yes			
yes	NURSING AND MIDWIFERY	PUBLIC HEALTH NURSING					
yes	NURSING AND MIDWIFERY	SCHOOL NURSING					
no	NURSING AND MIDWIFERY	SEXUAL AND REPRODUCTIVE HEALTH					
yes	NURSING AND MIDWIFERY	SPECIALIST NURSING		Yes			
yes	NURSING AND MIDWIFERY	STAFF NURSERY					
yes	NURSING AND MIDWIFERY	TREATMENT ROOM NURSING		Yes			
yes	OTHER THERAPEUTIC	GENETIC COUNSELLING					
no	OTHER THERAPEUTIC	NA					
yes	OTHER THERAPEUTIC	OPTOMETRY					
yes	OTHER THERAPEUTIC	PHARMACY					
no	OTHER THERAPEUTIC	PHARMACY TECHNICIANS	Yes				
yes	OTHER THERAPEUTIC	PLAY SPECIALIST		Yes			
yes	OTHER THERAPEUTIC	PSYCHOLOGY					
no	PERSONAL AND SOCIAL CARE	CARE AT HOME		Yes			
yes	PERSONAL AND SOCIAL CARE	HEALTH PROMOTION					
yes	PERSONAL AND SOCIAL CARE	HOSPITAL CHAPLAINCY					
no	PERSONAL AND SOCIAL CARE	RESIDENTIAL / DAY CARE		Yes			
yes	PERSONAL AND SOCIAL CARE	SOCIAL WORK					
no	SENIOR MANAGERS	NA	Yes				
yes	SUPPORT SERVICES	CATERING SERVICES					
yes	SUPPORT SERVICES	DOMESTIC SERVICES					
yes	SUPPORT SERVICES	ESTATES					
yes	SUPPORT SERVICES	GENERAL SERVICES					
yes	SUPPORT SERVICES	GROUNDS SERVICES					
yes	SUPPORT SERVICES	HOTEL SERVICES					
yes	SUPPORT SERVICES	LAUNDRY/LINEN SERVICES					
no	SUPPORT SERVICES	NA					
yes	SUPPORT SERVICES	PORTERING SERVICES		Yes			
yes	SUPPORT SERVICES	SECURITY SERVICES					
yes	SUPPORT SERVICES	STERILE SERVICES					
yes	SUPPORT SERVICES	STORES SERVICES					
yes	SUPPORT SERVICES	TRANSPORT SERVICES					
no	UNALLOCATED / NOT KNOWN	NA					
no	UNALLOCATED / NOT KNOWN	NOT KNOWN					
